# Angle (degree);  Occurrence
0.3000000000;  150.0230720
0.9000000000;  143.5956291
1.500000000;  144.9962391
2.100000000;  140.8134208
2.700000000;  140.8490489
3.300000000;  140.2606823
3.900000000;  139.0322481
4.500000000;  140.1941674
5.100000000;  138.1951759
5.700000000;  137.6599424
6.300000000;  136.8382057
6.900000000;  135.9462260
7.500000000;  133.8763776
8.100000000;  132.6312854
8.700000000;  131.7516527
9.300000000;  130.9067806
9.900000000;  128.4182545
10.50000000;  128.3977393
11.10000000;  126.8765598
11.70000000;  125.7147653
12.30000000;  123.2232006
12.90000000;  122.5579447
13.50000000;  120.5909447
14.10000000;  118.9144551
14.70000000;  117.7775487
15.30000000;  115.9882898
15.90000000;  114.9198266
16.50000000;  112.6489150
17.10000000;  110.4626344
17.70000000;  109.2754517
18.30000000;  108.4838212
18.90000000;  106.3591719
19.50000000;  103.8026426
20.10000000;  101.9777784
20.70000000;  100.8947405
21.30000000;  99.05327470
21.90000000;  98.23830870
22.50000000;  96.66569150
23.10000000;  94.10616517
23.70000000;  92.22139246
24.30000000;  90.82404471
24.90000000;  89.80909463
25.50000000;  88.17443652
26.10000000;  86.44186794
26.70000000;  84.09202703
27.30000000;  83.69580063
27.90000000;  82.94259202
28.50000000;  80.83210609
29.10000000;  79.08455580
29.70000000;  78.10019207
30.30000000;  76.98331759
30.90000000;  75.63964681
31.50000000;  74.34172972
32.10000000;  73.55764360
32.70000000;  72.30945648
33.30000000;  71.72561972
33.90000000;  70.80501207
34.50000000;  69.98782771
35.10000000;  68.56140999
35.70000000;  67.59441761
36.30000000;  66.83740709
36.90000000;  65.66560435
37.50000000;  64.90355893
38.10000000;  64.81915088
38.70000000;  63.94923761
39.30000000;  63.34957504
39.90000000;  62.76781380
40.50000000;  61.87007645
41.10000000;  61.39655048
41.70000000;  61.20331120
42.30000000;  60.54566032
42.90000000;  59.91210178
43.50000000;  59.65085182
44.10000000;  59.05903029
44.70000000;  58.73749592
45.30000000;  58.37469246
45.90000000;  57.88344113
46.50000000;  57.91970344
47.10000000;  57.63918796
47.70000000;  57.57183569
48.30000000;  57.21275154
48.90000000;  56.85814854
49.50000000;  56.54858551
50.10000000;  56.40647099
50.70000000;  56.42964163
51.30000000;  56.39056052
51.90000000;  56.04716878
52.50000000;  55.95646214
53.10000000;  55.77520363
53.70000000;  55.63760785
54.30000000;  55.55441110
54.90000000;  55.10044624
55.50000000;  55.19413620
56.10000000;  55.27077083
56.70000000;  55.28991651
57.30000000;  54.99929592
57.90000000;  55.07834666
58.50000000;  55.13865054
59.10000000;  55.13620646
59.70000000;  55.10492825
60.30000000;  54.95440667
60.90000000;  55.00131278
61.50000000;  55.14689307
62.10000000;  55.30763299
62.70000000;  55.29334979
63.30000000;  54.97677237
63.90000000;  55.10506996
64.50000000;  55.35940236
65.10000000;  55.15483708
65.70000000;  55.43223257
66.30000000;  55.62539239
66.90000000;  55.69144937
67.50000000;  55.81925965
68.10000000;  55.66847941
68.70000000;  56.07261927
69.30000000;  55.98113130
69.90000000;  55.96198436
70.50000000;  56.07684573
71.10000000;  56.09684781
71.70000000;  56.29707536
72.30000000;  56.48858113
72.90000000;  56.92726529
73.50000000;  56.63235587
74.10000000;  56.91511802
74.70000000;  56.98709551
75.30000000;  57.31667806
75.90000000;  57.54307213
76.50000000;  57.32998476
77.10000000;  58.00938922
77.70000000;  58.07721147
78.30000000;  58.06933613
78.90000000;  58.04562936
79.50000000;  58.50486082
80.10000000;  58.73179392
80.70000000;  58.67945963
81.30000000;  58.91917631
81.90000000;  59.21611785
82.50000000;  59.33971352
83.10000000;  59.76525907
83.70000000;  59.89647479
84.30000000;  59.77262995
84.90000000;  60.30468613
85.50000000;  60.45345942
86.10000000;  60.46142434
86.70000000;  60.69864211
87.30000000;  61.14393147
87.90000000;  61.13050555
88.50000000;  61.24082954
89.10000000;  61.63625942
89.70000000;  62.01813783
90.30000000;  61.87090370
90.90000000;  62.16231219
91.50000000;  62.55204412
92.10000000;  62.78063355
92.70000000;  63.09056224
93.30000000;  63.47495303
93.90000000;  63.66814060
94.50000000;  63.57053592
95.10000000;  64.03024971
95.70000000;  64.35738016
96.30000000;  64.37362908
96.90000000;  65.01452960
97.50000000;  65.28889886
98.10000000;  65.92599676
98.70000000;  65.85709378
99.30000000;  66.07441048
99.90000000;  66.33594925
100.5000000;  66.61552825
101.1000000;  66.83210037
101.7000000;  67.06326426
102.3000000;  67.23415008
102.9000000;  67.79022677
103.5000000;  68.22564299
104.1000000;  68.54933524
104.7000000;  68.82842312
105.3000000;  69.32349124
105.9000000;  69.75968665
106.5000000;  70.03249442
107.1000000;  70.53030300
107.7000000;  70.94723384
108.3000000;  71.20226236
108.9000000;  71.59062699
109.5000000;  72.05540789
110.1000000;  72.60399076
110.7000000;  72.88533838
111.3000000;  73.62141960
111.9000000;  73.54843452
112.5000000;  74.40241184
113.1000000;  74.72104867
113.7000000;  75.19431268
114.3000000;  76.12000359
114.9000000;  76.38459132
115.5000000;  77.28742159
116.1000000;  77.48394548
116.7000000;  78.23879672
117.3000000;  78.45292259
117.9000000;  79.37335724
118.5000000;  80.17100101
119.1000000;  80.72979375
119.7000000;  81.39381119
120.3000000;  82.26694359
120.9000000;  83.01357110
121.5000000;  84.01719056
122.1000000;  84.40871380
122.7000000;  84.92107688
123.3000000;  85.75006505
123.9000000;  87.01838111
124.5000000;  88.34954040
125.1000000;  89.04044766
125.7000000;  89.95038595
126.3000000;  90.59682631
126.9000000;  91.94651564
127.5000000;  93.33610071
128.1000000;  94.26402963
128.7000000;  95.67452239
129.3000000;  96.51095114
129.9000000;  97.82320331
130.5000000;  99.55453141
131.1000000;  100.8317618
131.7000000;  102.0372960
132.3000000;  103.5284393
132.9000000;  104.7438910
133.5000000;  106.5585724
134.1000000;  108.1265245
134.7000000;  109.6525045
135.3000000;  110.3496808
135.9000000;  112.3560847
136.5000000;  114.6311066
137.1000000;  116.4162614
137.7000000;  118.1568860
138.3000000;  119.3996384
138.9000000;  120.9884172
139.5000000;  123.2466499
140.1000000;  125.1856083
140.7000000;  126.9067974
141.3000000;  128.3054077
