# [N1C1-2r_N1C1-2o] Distance / pm; [C2r_N1r]-[C2o_N1o] Angle / Degree; Occurrence
204.0000000;  0.9000000000;  0.000000000
212.0000000;  0.9000000000;  0.000000000
220.0000000;  0.9000000000;  0.000000000
228.0000000;  0.9000000000;  0.000000000
236.0000000;  0.9000000000;  0.000000000
244.0000000;  0.9000000000;  0.000000000
252.0000000;  0.9000000000;  0.000000000
260.0000000;  0.9000000000;  0.000000000
268.0000000;  0.9000000000;  0.000000000
276.0000000;  0.9000000000;  0.000000000
284.0000000;  0.9000000000;  0.02610639001
292.0000000;  0.9000000000;  1.774893627
300.0000000;  0.9000000000;  9.343108423
308.0000000;  0.9000000000;  27.79384622
316.0000000;  0.9000000000;  86.56632888
324.0000000;  0.9000000000;  249.5830998
332.0000000;  0.9000000000;  583.6029931
340.0000000;  0.9000000000;  1097.452879
348.0000000;  0.9000000000;  1672.177029
356.0000000;  0.9000000000;  2296.730590
364.0000000;  0.9000000000;  3020.328738
372.0000000;  0.9000000000;  3714.614779
380.0000000;  0.9000000000;  4356.653504
388.0000000;  0.9000000000;  4767.899126
396.0000000;  0.9000000000;  4411.231081
404.0000000;  0.9000000000;  2318.542007
412.0000000;  0.9000000000;  1464.217013
420.0000000;  0.9000000000;  1292.459621
428.0000000;  0.9000000000;  1205.245843
436.0000000;  0.9000000000;  1097.735505
444.0000000;  0.9000000000;  1005.744670
452.0000000;  0.9000000000;  896.2673235
460.0000000;  0.9000000000;  754.7802811
468.0000000;  0.9000000000;  615.4833439
476.0000000;  0.9000000000;  480.6283358
484.0000000;  0.9000000000;  374.0934389
492.0000000;  0.9000000000;  295.0705233
500.0000000;  0.9000000000;  244.2268111
508.0000000;  0.9000000000;  217.4215716
516.0000000;  0.9000000000;  204.3177388
524.0000000;  0.9000000000;  182.8897182
532.0000000;  0.9000000000;  167.5450210
540.0000000;  0.9000000000;  155.8313968
548.0000000;  0.9000000000;  138.0794076
556.0000000;  0.9000000000;  118.7482561
564.0000000;  0.9000000000;  92.79212024
572.0000000;  0.9000000000;  66.81421457
580.0000000;  0.9000000000;  44.08910149
588.0000000;  0.9000000000;  25.31826652
596.0000000;  0.9000000000;  11.39743257
604.0000000;  0.9000000000;  3.798476127
612.0000000;  0.9000000000;  0.6292438480
620.0000000;  0.9000000000;  0.05527787693
628.0000000;  0.9000000000;  0.0007797549846
636.0000000;  0.9000000000;  0.000000000
644.0000000;  0.9000000000;  0.000000000
652.0000000;  0.9000000000;  0.000000000
660.0000000;  0.9000000000;  0.000000000
668.0000000;  0.9000000000;  0.000000000
676.0000000;  0.9000000000;  0.000000000
684.0000000;  0.9000000000;  0.000000000
692.0000000;  0.9000000000;  0.000000000
700.0000000;  0.9000000000;  0.000000000
708.0000000;  0.9000000000;  0.000000000
716.0000000;  0.9000000000;  0.000000000
724.0000000;  0.9000000000;  0.000000000
732.0000000;  0.9000000000;  0.000000000
740.0000000;  0.9000000000;  0.000000000
748.0000000;  0.9000000000;  0.000000000
756.0000000;  0.9000000000;  0.000000000
764.0000000;  0.9000000000;  0.000000000
772.0000000;  0.9000000000;  0.000000000
780.0000000;  0.9000000000;  0.000000000
788.0000000;  0.9000000000;  0.000000000
796.0000000;  0.9000000000;  0.000000000
804.0000000;  0.9000000000;  0.000000000
812.0000000;  0.9000000000;  0.000000000
820.0000000;  0.9000000000;  0.000000000
828.0000000;  0.9000000000;  0.000000000
836.0000000;  0.9000000000;  0.000000000
844.0000000;  0.9000000000;  0.000000000
852.0000000;  0.9000000000;  0.000000000
860.0000000;  0.9000000000;  0.000000000
868.0000000;  0.9000000000;  0.000000000
876.0000000;  0.9000000000;  0.000000000
884.0000000;  0.9000000000;  0.000000000
892.0000000;  0.9000000000;  0.000000000
900.0000000;  0.9000000000;  0.000000000
908.0000000;  0.9000000000;  0.000000000
916.0000000;  0.9000000000;  0.000000000
924.0000000;  0.9000000000;  0.000000000
932.0000000;  0.9000000000;  0.000000000
940.0000000;  0.9000000000;  0.000000000
948.0000000;  0.9000000000;  0.000000000
956.0000000;  0.9000000000;  0.000000000
964.0000000;  0.9000000000;  0.000000000
972.0000000;  0.9000000000;  0.000000000
980.0000000;  0.9000000000;  0.000000000
988.0000000;  0.9000000000;  0.000000000
996.0000000;  0.9000000000;  0.000000000
204.0000000;  2.700000000;  0.000000000
212.0000000;  2.700000000;  0.000000000
220.0000000;  2.700000000;  0.000000000
228.0000000;  2.700000000;  0.000000000
236.0000000;  2.700000000;  0.000000000
244.0000000;  2.700000000;  0.000000000
252.0000000;  2.700000000;  0.000000000
260.0000000;  2.700000000;  0.000000000
268.0000000;  2.700000000;  0.000000000
276.0000000;  2.700000000;  0.000000000
284.0000000;  2.700000000;  0.1314161079
292.0000000;  2.700000000;  2.106759429
300.0000000;  2.700000000;  8.494878172
308.0000000;  2.700000000;  27.21542989
316.0000000;  2.700000000;  80.55706068
324.0000000;  2.700000000;  232.6626026
332.0000000;  2.700000000;  546.5064354
340.0000000;  2.700000000;  1007.901878
348.0000000;  2.700000000;  1571.678665
356.0000000;  2.700000000;  2161.238929
364.0000000;  2.700000000;  2771.963614
372.0000000;  2.700000000;  3385.905631
380.0000000;  2.700000000;  3975.835093
388.0000000;  2.700000000;  4317.583683
396.0000000;  2.700000000;  3964.453731
404.0000000;  2.700000000;  2199.714246
412.0000000;  2.700000000;  1395.270562
420.0000000;  2.700000000;  1189.925044
428.0000000;  2.700000000;  1104.150479
436.0000000;  2.700000000;  1022.548021
444.0000000;  2.700000000;  929.7016045
452.0000000;  2.700000000;  817.4857846
460.0000000;  2.700000000;  692.2332981
468.0000000;  2.700000000;  561.1670951
476.0000000;  2.700000000;  438.6570058
484.0000000;  2.700000000;  343.7547970
492.0000000;  2.700000000;  274.3355253
500.0000000;  2.700000000;  226.2997823
508.0000000;  2.700000000;  199.6195056
516.0000000;  2.700000000;  185.3706457
524.0000000;  2.700000000;  172.1803210
532.0000000;  2.700000000;  159.5293578
540.0000000;  2.700000000;  142.3374910
548.0000000;  2.700000000;  124.0919784
556.0000000;  2.700000000;  105.3430725
564.0000000;  2.700000000;  84.44893898
572.0000000;  2.700000000;  62.44734101
580.0000000;  2.700000000;  41.36729693
588.0000000;  2.700000000;  23.22640645
596.0000000;  2.700000000;  10.44054573
604.0000000;  2.700000000;  3.099222370
612.0000000;  2.700000000;  0.5472596264
620.0000000;  2.700000000;  0.07446478830
628.0000000;  2.700000000;  0.003965367414
636.0000000;  2.700000000;  0.000000000
644.0000000;  2.700000000;  0.000000000
652.0000000;  2.700000000;  0.000000000
660.0000000;  2.700000000;  0.000000000
668.0000000;  2.700000000;  0.000000000
676.0000000;  2.700000000;  0.000000000
684.0000000;  2.700000000;  0.000000000
692.0000000;  2.700000000;  0.000000000
700.0000000;  2.700000000;  0.000000000
708.0000000;  2.700000000;  0.000000000
716.0000000;  2.700000000;  0.000000000
724.0000000;  2.700000000;  0.000000000
732.0000000;  2.700000000;  0.000000000
740.0000000;  2.700000000;  0.000000000
748.0000000;  2.700000000;  0.000000000
756.0000000;  2.700000000;  0.000000000
764.0000000;  2.700000000;  0.000000000
772.0000000;  2.700000000;  0.000000000
780.0000000;  2.700000000;  0.000000000
788.0000000;  2.700000000;  0.000000000
796.0000000;  2.700000000;  0.000000000
804.0000000;  2.700000000;  0.000000000
812.0000000;  2.700000000;  0.000000000
820.0000000;  2.700000000;  0.000000000
828.0000000;  2.700000000;  0.000000000
836.0000000;  2.700000000;  0.000000000
844.0000000;  2.700000000;  0.000000000
852.0000000;  2.700000000;  0.000000000
860.0000000;  2.700000000;  0.000000000
868.0000000;  2.700000000;  0.000000000
876.0000000;  2.700000000;  0.000000000
884.0000000;  2.700000000;  0.000000000
892.0000000;  2.700000000;  0.000000000
900.0000000;  2.700000000;  0.000000000
908.0000000;  2.700000000;  0.000000000
916.0000000;  2.700000000;  0.000000000
924.0000000;  2.700000000;  0.000000000
932.0000000;  2.700000000;  0.000000000
940.0000000;  2.700000000;  0.000000000
948.0000000;  2.700000000;  0.000000000
956.0000000;  2.700000000;  0.000000000
964.0000000;  2.700000000;  0.000000000
972.0000000;  2.700000000;  0.000000000
980.0000000;  2.700000000;  0.000000000
988.0000000;  2.700000000;  0.000000000
996.0000000;  2.700000000;  0.000000000
204.0000000;  4.500000000;  0.000000000
212.0000000;  4.500000000;  0.000000000
220.0000000;  4.500000000;  0.000000000
228.0000000;  4.500000000;  0.000000000
236.0000000;  4.500000000;  0.000000000
244.0000000;  4.500000000;  0.000000000
252.0000000;  4.500000000;  0.000000000
260.0000000;  4.500000000;  0.000000000
268.0000000;  4.500000000;  0.000000000
276.0000000;  4.500000000;  0.000000000
284.0000000;  4.500000000;  0.3741867642
292.0000000;  4.500000000;  2.160958242
300.0000000;  4.500000000;  8.077591131
308.0000000;  4.500000000;  27.06934582
316.0000000;  4.500000000;  86.02261393
324.0000000;  4.500000000;  239.8899943
332.0000000;  4.500000000;  554.5460122
340.0000000;  4.500000000;  1016.073136
348.0000000;  4.500000000;  1566.790295
356.0000000;  4.500000000;  2159.624437
364.0000000;  4.500000000;  2752.629273
372.0000000;  4.500000000;  3334.317687
380.0000000;  4.500000000;  3862.571835
388.0000000;  4.500000000;  4120.937927
396.0000000;  4.500000000;  3743.243555
404.0000000;  4.500000000;  2236.894659
412.0000000;  4.500000000;  1491.144424
420.0000000;  4.500000000;  1202.302572
428.0000000;  4.500000000;  1089.548157
436.0000000;  4.500000000;  1009.972044
444.0000000;  4.500000000;  912.2515682
452.0000000;  4.500000000;  797.1747020
460.0000000;  4.500000000;  678.3860369
468.0000000;  4.500000000;  551.1433825
476.0000000;  4.500000000;  435.5838755
484.0000000;  4.500000000;  338.3039610
492.0000000;  4.500000000;  272.3425511
500.0000000;  4.500000000;  225.5687654
508.0000000;  4.500000000;  197.7822534
516.0000000;  4.500000000;  182.2680723
524.0000000;  4.500000000;  168.8904887
532.0000000;  4.500000000;  156.6483404
540.0000000;  4.500000000;  139.6773521
548.0000000;  4.500000000;  120.8231178
556.0000000;  4.500000000;  101.0596758
564.0000000;  4.500000000;  81.80656439
572.0000000;  4.500000000;  61.97306428
580.0000000;  4.500000000;  40.69208798
